                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2846,                 2.3864,                  3.057,                 1.1938,                0.22922,                0.45502,                0.24735,                0.20041,                0.22922,                0.45502,                0.24718,                0.19269,                0.88416,                 1.4245,                 2.4413,                  1.023,             0.00023763,             0.00023763,             0.00023763
                     25,                 1.3133,                 2.4826,                 3.0351,                 1.2033,                0.23565,                0.46913,                   0.24,                0.19501,                0.23565,                0.46913,                0.23963,                0.18666,                0.88388,                  1.395,                 2.4302,                 1.0391,              0.0002358,              0.0002358,              0.0002358
                     26,                 1.2529,                 2.4126,                 3.0404,                 1.1685,                0.20627,                0.51499,                0.24737,                0.20158,                0.23845,                0.51409,                  0.247,                0.19147,                0.89107,                 1.3905,                 2.3775,                 1.0399,             0.00023396,             0.00023396,             0.00023396
                     27,                 1.2094,                 2.3167,                 2.9614,                 1.1635,                0.21347,                0.59567,                0.25408,                0.20669,                0.21347,                0.59567,                0.25393,                0.19744,                0.89186,                 1.3793,                 2.3166,                 1.0364,             0.00023213,             0.00023213,             0.00023213
                     28,                 1.2397,                 2.4095,                 2.9454,                 1.1745,                0.22314,                0.51427,                0.25907,                0.20983,                0.22314,                0.51427,                0.25893,                0.20401,                0.88126,                 1.3771,                 2.3041,                 1.0262,              0.0002303,              0.0002303,              0.0002303
                     29,                 1.2642,                 2.2755,                 2.9505,                 1.1694,                 0.2015,                0.44198,                0.25224,                0.20637,                 0.2015,                0.44198,                0.25209,                0.19908,                0.85913,                 1.3703,                 2.3453,                 1.0181,             0.00022846,             0.00022846,             0.00022846
                     30,                 1.2603,                 2.3438,                 2.8845,                 1.1885,                0.22724,                0.44322,                0.25576,                0.21075,                0.22724,                0.44322,                0.25561,                0.20083,                0.85703,                 1.3627,                 2.3454,                 1.0124,             0.00022663,             0.00022663,             0.00022663
                     31,                  1.241,                 2.2968,                 2.8148,                  1.186,                 0.2225,                 0.4553,                0.27142,                0.22349,                 0.2225,                 0.4553,                0.27126,                0.21164,                0.85418,                 1.3512,                 2.2741,                 1.0112,             0.00022479,             0.00022479,             0.00022479
                     32,                 1.2982,                  2.424,                 2.9328,                  1.192,                0.17804,                0.50686,                0.27257,                0.22297,                0.17804,                0.50686,                0.27238,                0.21276,                0.84778,                 1.3359,                 2.2191,                 1.0075,             0.00022296,             0.00022296,             0.00022296
                     33,                 1.2305,                 2.2931,                 2.7792,                 1.1718,                0.16599,                 0.5203,                0.28135,                0.22927,                0.16584,                0.51449,                 0.2799,                0.22077,                0.83681,                 1.2923,                 2.2119,                  1.008,             0.00022112,             0.00022112,             0.00022112
                     34,                 1.1965,                 2.1103,                 2.7833,                 1.1545,                0.22267,                0.51141,                0.29016,                0.23423,                0.22267,                0.51141,                  0.289,                0.22365,                0.86144,                 1.2667,                 2.2242,                 1.0242,             0.00021929,             0.00021929,             0.00021929
                     35,                 1.2454,                 2.2538,                 2.7351,                 1.1672,                0.23878,                0.53045,                0.29325,                0.23716,                0.24089,                0.52855,                0.29161,                0.22618,                0.88013,                 1.2676,                 2.2255,                 1.0315,             0.00021745,             0.00021745,             0.00021745
                     36,                 1.2745,                 2.3367,                 2.7458,                 1.1924,                0.25481,                0.50841,                 0.3134,                0.25268,                0.25481,                0.50841,                0.31231,                0.24382,                0.90852,                 1.3067,                 2.2343,                 1.0452,             0.00021562,             0.00021562,             0.00021562
                     37,                  1.226,                 2.2119,                 2.6901,                 1.1641,                0.23608,                0.49486,                0.31675,                0.25575,                0.23467,                 0.4668,                0.31559,                 0.2486,                0.90953,                 1.3427,                 2.2236,                 1.0466,             0.00021378,             0.00021378,             0.00021378
                     38,                 1.2771,                  2.292,                  2.716,                 1.1958,                0.23328,                0.53906,                0.32636,                0.26435,                0.23246,                0.53515,                 0.3253,                 0.2543,                0.89656,                 1.3678,                 2.2007,                  1.042,             0.00021195,             0.00021195,             0.00021195
